2021-10-09 10:16:33.255 [main] INFO  com.example.zrf.ElkDemoApplication - Starting ElkDemoApplication on runfamac with PID 2338 (/Users/runfa/Documents/program/SpringCloud/springclouddemo/elk-demo/target/classes started by runfa in /Users/runfa/Documents/program/SpringCloud/springclouddemo)
2021-10-09 10:16:33.258 [main] INFO  com.example.zrf.ElkDemoApplication - The following profiles are active: dev
2021-10-09 10:16:33.807 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Elasticsearch repositories in DEFAULT mode.
2021-10-09 10:16:33.904 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 92ms. Found 1 Elasticsearch repository interfaces.
2021-10-09 10:16:33.923 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Reactive Elasticsearch repositories in DEFAULT mode.
2021-10-09 10:16:33.928 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 4ms. Found 0 Reactive Elasticsearch repository interfaces.
2021-10-09 10:16:34.334 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2021-10-09 10:16:34.340 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2021-10-09 10:16:34.341 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-10-09 10:16:34.341 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.35]
2021-10-09 10:16:34.406 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-10-09 10:16:34.407 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1098 ms
2021-10-09 10:16:35.232 [main] INFO  o.s.data.elasticsearch.support.VersionInfo - Version Spring Data Elasticsearch: 4.0.0.RELEASE
2021-10-09 10:16:35.246 [main] INFO  o.s.data.elasticsearch.support.VersionInfo - Version Elasticsearch Client in build: 7.6.2
2021-10-09 10:16:35.248 [main] INFO  o.s.data.elasticsearch.support.VersionInfo - Version Elasticsearch Client used: 7.6.2
2021-10-09 10:16:35.248 [main] INFO  o.s.data.elasticsearch.support.VersionInfo - Version Elasticsearch cluster: 7.14.0
2021-10-09 10:16:35.902 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-10-09 10:16:36.192 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2021-10-09 10:16:36.231 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2021-10-09 10:16:36.263 [main] INFO  com.example.zrf.ElkDemoApplication - Started ElkDemoApplication in 3.913 seconds (JVM running for 5.06)
